"Agency Name:","County of Court","Warrant Number","Submitted","Nature of the investigation","Primary Nature","Crime of Violence Options","Secondary Nature","Order Served on","Business Name","Items to be searched for:","Start Date for Info","End Date for Info","Grounds for Issuance","Reasons for Delay (if any)","Emergency?","Facts giving rise to the emergency"
"Chico Police Department","Butte"," ","06/23/2020 - 13:11","At-risk missing person. ","At-risk missing person"," ","Missing Person","Business","AT&T","Location information
Communications (email, text, voice mail, or other communication)
","Fri, 2020-05-15","Wed, 2020-06-03","At-risk missing person investigation","lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","Yes","As noted in court order, person was at-risk missing person. Missing person had medical issues and had not been seen or heard from since 5-17-20."
"California Highway Patrol","Los Angeles"," ","06/23/2020 - 15:02","Reckless driving incident which resulted in great bodily injury to a another person. ","Reckless driving causing great bodily injury"," "," ","Device Only"," ","Stored files (picture, documents, or other files)
indicia of ownership.
","Wed, 2020-05-13","Wed, 2020-05-13","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
"," ","No"," "
"Torrance Police Department","Los Angeles"," ","06/24/2020 - 15:37","211 PC","Crime of Violence","Robbery"," ","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Mon, 2020-02-24","Thu, 2020-04-09","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Torrance Police Department","Los Angeles"," ","06/24/2020 - 15:39","211 PC","Crime of Violence","Robbery"," ","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Mon, 2020-02-24","Tue, 2020-04-21","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Torrance Police Department","Los Angeles"," ","06/24/2020 - 16:37","211 PC","Crime of Violence","Robbery"," ","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Mon, 2020-02-24","Tue, 2020-05-12","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Los Angeles County Sheriff's Department ","Los Angeles","CC202087641","06/29/2020 - 07:33","Suspect Gregory Shaw was charged with 220(B)PC and 459PC.  A warrant for issued for his arrest","Arrest/Warrant Fugitive"," "," ","Device Only"," ","Location information","Thu, 2020-05-28","Tue, 2020-06-09","Location of a person whose arrest there is probable cause for Gregory Shaw for CA penal code 220(B)PC Warrant LAVLA09252401","lead to flight from prosecution","No"," "
"LASD Major Crimes Bureau ","Los Angeles","CC202087453","06/29/2020 - 07:56","Suspect Gregory Shaw wanted for 220(B)PC, warrant issued for his arrest LAVLA09252401","Arrest/Warrant Fugitive"," ","Domestic Violence","Device Only"," ","Location information","Thu, 2020-05-21","Tue, 2020-06-09","There is a warrant for the person's arrest, Gregory Shaw Warrant LAVLA09252401"," ","No"," "
"Los Altos Police Department","Santa Clara","BSW05823","06/29/2020 - 08:16","During homicide investigation, the suspect's phone was searched and found to have evidence of child exploitation associated to the suspect's WhatsApp account.","Child Exploitation"," "," ","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Communications (email, text, voice mail, or other communication)
","Thu, 2019-08-01","Sat, 2020-05-09","was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
"," ","No"," "
"Alameda County District Attorney's Office","Alameda","2020-3536","06/29/2020 - 09:28","Defendant is suspect in a homicide, cell phone located inside the residence where he was located/arrested.  Data requested in phone to determine ownership and possible communication and/or GPS info.","Homicide"," "," ","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Thu, 2016-12-01","Tue, 2019-07-23","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Monterey County DA's Office","Monterey"," ","06/29/2020 - 09:31","Homero Barrera is wanted for 664/187 PC. The search warrant revealed he is in an unknown location in Mexico. ","Arrest/Warrant Fugitive"," "," ","Business","Facebook Inc. ","Basic subscriber information from a service provider
Location information
Communications (email, text, voice mail, or other communication)
","Mon, 2020-04-06","Thu, 2020-05-21","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
","No"," "
"Monterey County District Attorney's Office","Monterey"," ","06/29/2020 - 09:33","Suspect is committing multiple residential burglaries in this county and surrounding counties. ","Theft/Fraud"," "," ","Business","AT&T and Santa Cruz County Sheriff's Office","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Sun, 2019-03-10","Tue, 2019-04-30","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Claremont Police Department","Los Angeles"," ","06/29/2020 - 09:40","These records were requested for a criminal investigation pertaining to the following:   On 05/21/20, at approximately 1139 hours, a male subject, VICTIM-1, was discovered deceased by a fellow residence at the location.  Upon further investigation, it was discovered that the subject had overdosed on an illegal controlled substance, and it is believed that the substance was contaminated with fentanyl.  Witness statements revealed that the drugs were sold the victim by Rodolfo Salazar, who admitted to the witness that he cuts his drugs with fentanyl.  ","Homicide"," "," ","Device Only"," ","Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Fri, 2020-05-01","Wed, 2020-07-01","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
